TimeStamp,Select enzymes Step,AMSA Wash Step
2018-09-21 16:07,'',11.458
2018-09-21 16:22,5.226,''
2018-09-21 16:23,'',11.086
2018-09-21 16:38,5.124,''
2018-09-21 16:38,'',11.089
2018-09-21 16:53,5.246,''
2018-09-21 16:54,'',11.236
2018-09-21 17:09,4.986,''
2018-09-21 17:09,'',11.12
2018-09-21 17:24,5.156,''
2018-09-21 17:25,'',9.553
2018-09-21 17:40,5.32,''
2018-09-21 17:40,'',11.242
2018-09-21 17:55,5.024,''
2018-09-21 17:56,'',9.371
2018-09-21 18:11,4.73,''
2018-09-21 18:11,'',12.826
2018-09-21 18:26,5.127,''
2018-09-21 18:27,'',9.464
2018-09-21 18:42,5.105,''
2018-09-21 18:42,'',9.34
2018-09-21 18:57,4.774,''
2018-09-21 18:57,'',10.564
2018-09-21 19:13,4.996,''
2018-09-21 19:13,'',11.364
2018-09-21 19:28,5.147,''
2018-09-21 19:28,'',10.998
2018-09-21 19:44,5.084,''
2018-09-21 19:44,'',10.762
2018-09-21 19:59,5.167,''
2018-09-21 19:59,'',9.264
2018-09-21 20:15,5.089,''
2018-09-21 20:15,'',11.24
2018-09-21 20:30,5.153,''
2018-09-21 20:30,'',11.293
2018-09-21 20:46,5.249,''
2018-09-21 20:46,'',10.936
2018-09-21 21:01,5.413,''
2018-09-21 21:01,'',9.555
2018-09-21 21:17,5.324,''
2018-09-21 21:17,'',9.404
2018-09-21 21:32,5.302,''
2018-09-21 21:32,'',11.478
2018-09-21 21:48,4.901,''
2018-09-21 21:48,'',10.662
2018-09-21 22:03,12.698,''
2018-09-21 22:04,'',13.501
2018-09-21 22:19,5.223,''
2018-09-21 22:19,'',11.572
2018-09-21 22:34,5.248,''
2018-09-21 22:34,'',9.279
2018-09-21 22:50,5.033,''
2018-09-21 22:50,'',10.043
2018-09-21 23:05,5.122,''
2018-09-21 23:05,'',9.157
2018-09-21 23:21,5.195,''
2018-09-21 23:21,'',11.282
2018-09-21 23:36,4.863,''
2018-09-21 23:36,'',11.025
2018-09-21 23:52,4.845,''
2018-09-21 23:52,'',10.849
2018-09-22 00:07,5.016,''
2018-09-22 00:07,'',11.813
2018-09-22 00:23,5.208,''
2018-09-22 00:23,'',11.284
2018-09-22 00:38,4.929,''
2018-09-22 00:38,'',10.809
2018-09-22 00:54,5.194,''
2018-09-22 00:54,'',11.063
2018-09-22 01:09,5.233,''
2018-09-22 01:09,'',11.219
2018-09-22 01:25,5.027,''
2018-09-22 01:25,'',9.116
2018-09-22 01:40,5.091,''
2018-09-22 01:40,'',11.247
2018-09-22 01:56,5.2,''
